coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Sat Jul 11 16:36:39 +0000 2020,,https://twitter.com/TrumpWarRoom/status/1281008090905808896/video/1,,850,1281990801594241026,,,,en,,false,393,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Joe Biden said this week he “absolutely” supports cutting funding from police departments. 

This is the LAST thing our brave police officers need. Can’t trust Joe Biden to keep America’s cities safe!  https://t.co/PKXvz3zobe",https://twitter.com/TrumpWarRoom/status/1281990801594241026,Wed Mar 20 20:54:58 +0000 2019,TrumpWarRoom,false,"Highlighting @realDonaldTrump's #PromisesKept, fighting #FakeNews. This account punches back 10x harder. Managed by the @TeamTrump 2020 campaign. #MAGA",101,1223631,287,3542,MAGA Country,Trump War Room,TrumpWarRoom,26927,,https://www.donaldjtrump.com/,true
,Sun Jul 26 12:53:47 +0000 2020,,https://twitter.com/RNCResearch/status/1283388703860293637/video/1,,0,1287370531285749766,,,,en,,false,205,1287367433754497032,SteveGuest,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @SteveGuest: @realDonaldTrump What is going on with Joe Biden?

Why does Biden think Arizona is a city?

WATCH:

 https://t.co/Os3e6L64Ix",https://twitter.com/JasonMillerinDC/status/1287370531285749766,Sat Jan 12 23:03:43 +0000 2013,JasonMillerinDC,false,"Principal, SHW Partners LLC. @realDonaldTrump 2020 Senior Advisor. 2016 Senior Communications Advisor, Transition Team Communications Director. 2 Timothy 1:7.",11030,264812,3532,1844,"Washington, DC",Jason Miller,JasonMillerinDC,48239,,http://linkedin.com/in/jason-miller-543895195,true
,Sat Jul 11 16:37:46 +0000 2020,,,,0,1281991078502002688,,,,en,,,215,1281953034285662208,christianllamar,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @christianllamar: .@PARISDENNARD: “ Joe Biden is not out there on the campaign trail. President Trump is. He is making the case. Right n…,https://twitter.com/kelliwardaz/status/1281991078502002688,Sun Aug 21 14:42:47 +0000 2011,kelliwardaz,false,"Chairwoman @AZGOP, mom, military wife, family physician, & former AZ State Senator #Win2020 #KeepAmericaGreat #ProLife #ProFamily #ProFreedom 🇺🇸",64603,105257,2361,706,"Phoenix, AZ",Dr. Kelli Ward 🇺🇸,kelliwardaz,37793,,http://www.kelliward.com,true
,Sun Jul 12 10:43:24 +0000 2020,,,,0,1282264290028920832,,,,en,,,27347,1282122960405438465,realannapaulina,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @realannapaulina: In 2017, my husband’s teammate was shot multiple times in Afghanistan. 

Without any media present, @realDonaldTrump s…",https://twitter.com/JasonMillerinDC/status/1282264290028920832,Sat Jan 12 23:03:43 +0000 2013,JasonMillerinDC,false,"Principal, SHW Partners LLC. @realDonaldTrump 2020 Senior Advisor. 2016 Senior Communications Advisor, Transition Team Communications Director. 2 Timothy 1:7.",11030,264812,3532,1844,"Washington, DC",Jason Miller,JasonMillerinDC,48239,,http://linkedin.com/in/jason-miller-543895195,true
,Mon Jul 20 13:48:41 +0000 2020,,,,0,1285210019013722114,,,,en,,,4297,1285173139358572544,DonaldJTrumpJr,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @DonaldJTrumpJr: Joe Biden and the radical left-wing mob remain silent as violent protests and riots take over the Pacific Northwest. ht…,https://twitter.com/JasonMillerinDC/status/1285210019013722114,Sat Jan 12 23:03:43 +0000 2013,JasonMillerinDC,false,"Principal, SHW Partners LLC. @realDonaldTrump 2020 Senior Advisor. 2016 Senior Communications Advisor, Transition Team Communications Director. 2 Timothy 1:7.",11030,264812,3532,1844,"Washington, DC",Jason Miller,JasonMillerinDC,48239,,http://linkedin.com/in/jason-miller-543895195,true
,Thu Jul 23 02:18:14 +0000 2020,,,https://dailycaller.com/2020/07/22/exclusive-hud-terminate-obama-era-housing-rule/,826,1286123427183710209,,,,en,,false,439,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EXCLUSIVE: Trump, Ben Carson Are ‘Tearing Down’ An Obama-Era Housing Rule Accused Of Funneling Money Into Wealthy Areas https://t.co/f4HHyzoDfl via @dailycaller",https://twitter.com/JasonMillerinDC/status/1286123427183710209,Sat Jan 12 23:03:43 +0000 2013,JasonMillerinDC,false,"Principal, SHW Partners LLC. @realDonaldTrump 2020 Senior Advisor. 2016 Senior Communications Advisor, Transition Team Communications Director. 2 Timothy 1:7.",11030,264812,3532,1844,"Washington, DC",Jason Miller,JasonMillerinDC,48239,,http://linkedin.com/in/jason-miller-543895195,true
,Fri Jul 10 22:28:39 +0000 2020,,,https://thedcpatriot.com/team-biden-refuses-to-release-results-of-cognitive-testing/,141,1281716994740572160,,,,en,,false,112,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Team Biden Refuses To Release Results Of Cognitive Testing https://t.co/KhnZZPQITg,https://twitter.com/RealMattCouch/status/1281716994740572160,Thu Jun 07 03:57:26 +0000 2012,RealMattCouch,false,"Christian - Father - Investigator - Political Analyst - Founder of https://t.co/BK6f3SeNA1 - Truth Slinger - Si Vis Pacem, Para Bellum - IG/Parler/Gab: @RealMattCouch",320983,481335,111542,200,"NW Arkansas, USA",Matt Couch,RealMattCouch,319825,,http://www.TheDCPatriot.com,false
,Tue Jul 21 22:05:49 +0000 2020,,,https://thedcpatriot.com/%e2%80%8bcheck-mate-missouri-governor-prepared-to-pardon-st-louis-couple/,74,1285697513668911106,realDonaldTrump,1285540318503407600,25073877,und,,false,33,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@realDonaldTrump https://t.co/iBh3kyrgKW,https://twitter.com/RealMattCouch/status/1285697513668911106,Thu Jun 07 03:57:26 +0000 2012,RealMattCouch,false,"Christian - Father - Investigator - Political Analyst - Founder of https://t.co/BK6f3SeNA1 - Truth Slinger - Si Vis Pacem, Para Bellum - IG/Parler/Gab: @RealMattCouch",320983,481335,111542,200,"NW Arkansas, USA",Matt Couch,RealMattCouch,319825,,http://www.TheDCPatriot.com,false
,Wed Jul 29 07:23:09 +0000 2020,BigTechCensorship,,,0,1288374488170524672,,,,en,,,80,1288374187904516096,ChairmanAustin,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @ChairmanAustin: .@kelliwardaz being suspended on Twitter is a direct act of #BigTechCensorship to hurt conservatives and President Trum…,https://twitter.com/AZGOP/status/1288374488170524672,Thu Aug 21 21:30:45 +0000 2008,AZGOP,false,The official Twitter account of the Republican Party of Arizona.,16620,58761,2302,498,"Phoenix, AZ",Arizona Republican Party,AZGOP,20397,,http://www.azgop.com/,true
,Wed Jul 22 16:13:32 +0000 2020,,,,0,1285971250385498112,,,,en,,,1670,1285967659151106055,SecretsBedard,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @SecretsBedard: Comeback: Trump neck-and-neck with Biden, 45%-47%, approval equal with Obama's, says @Rasmussen_Poll  https://t.co/6cZSX…",https://twitter.com/JasonMillerinDC/status/1285971250385498112,Sat Jan 12 23:03:43 +0000 2013,JasonMillerinDC,false,"Principal, SHW Partners LLC. @realDonaldTrump 2020 Senior Advisor. 2016 Senior Communications Advisor, Transition Team Communications Director. 2 Timothy 1:7.",11030,264812,3532,1844,"Washington, DC",Jason Miller,JasonMillerinDC,48239,,http://linkedin.com/in/jason-miller-543895195,true
