type,name,screen_name,party,id
member,John Garamendi,RepGaramendi,D,88806753
member,Josh Harder,RepJoshHarder,D,1080851152151953410
member,Juan Vargas,RepJuanVargas,D,1260172386
member,Judy Chu,RepJudyChu,D,193732179
member,Julia Brownley,RepBrownley,D,1243902714
member,Karen Bass,RepKarenBass,D,239949176
member,Katie Porter,RepKatiePorter,D,1081222837459996672
member,Ken Calvert,KenCalvert,R,22545491
member,Kevin McCarthy,GOPLeader,R,19739126
member,Linda Sanchez,RepLindaSanchez,D,312134473
member,Lou Correa,RepLouCorrea,D,815985039485837312
member,Lucille Roybal-Allard,RepRoybalAllard,D,479872233
member,Mark DeSaulnier,RepDeSaulnier,D,2968007206
member,Mark Takano,RepMarkTakano,D,1037321378
member,Maxine Waters,RepMaxineWaters,D,36686040
member,Mike Garcia,repmikegarcia,R,1262531473057423361
member,Mike Levin,RepMikeLevin,D,1072134139560620033
member,Mike Thompson,RepThompson,D,303861808
member,Nancy Pelosi,SpeakerPelosi,D,15764644
member,Nanette Barragan,RepBarragan,D,816833925456789505
member,Norma Torres,NormaJTorres,D,236279233
member,Pete Aguilar,RepPeteAguilar,D,3018670151
member,Raul Ruiz,RepRaulRuizMD,D,1089859058
member,Ro Khanna,RepRoKhanna,D,816298918468259841
member,Salud Carbajal,RepCarbajal,D,816157667882373120
member,Scott Peters,RepScottPeters,D,1135486501
member,Susan Davis,RepSusanDavis,D,432771620
member,TJ Cox,RepTjCox,D,1080875913926139910
member,Ted Lieu,RepTedLieu,D,3044993235
member,Tom McClintock,RepMcClintock,R,50152441
member,Tony Cardenas,RepCardenas,D,1222257180
member,Zoe Lofgren,RepZoeLofgren,D,267938462
member,Diana DeGette,RepDianaDeGette,D,28599820
member,Doug Lamborn,RepDLamborn,R,584012853
member,Ed Perlmutter,RepPerlmutter,D,20552026
member,Jason Crow,RepJasonCrow,D,1080191866509901826
member,Joe Neguse,RepJoeNeguse,D,1078749802765139968
member,Ken Buck,RepKenBuck,R,2862577383
member,Scott Tipton,RepTipton,R,242873057
member,Jahana Hayes,RepJahanaHayes,D,1082086081238102018
member,Jim Himes,jahimes,D,31611298
member,Joe Courtney,RepJoeCourtney,D,85396297
member,John B. Larson,RepJohnLarson,D,50452197
member,Rosa DeLauro,rosadelauro,D,140519774
member,Eleanor Holmes Norton,EleanorNorton,D,23600262
member,Lisa Blunt Rochester,RepLBR,D,817050219007328258
member,Al Lawson,RepAlLawsonJr,D,818472418620608512
member,Alcee Hastings,RepHastingsFL,D,2433737761
member,Bill Posey,congbillposey,R,25086658
member,Brian Mast,RepBrianMast,R,814103950404239360
member,Charlie Crist,RepCharlieCrist,D,816030424778543104
member,Daniel Webster,RepWebster,R,281540744
member,Darren Soto,RepDarrenSoto,D,818713465653051392
member,Debbie Mucarsel-Powell,RepDMP,D,1080941062028447744
member,Debbie Wasserman Schultz,RepDWStweets,D,1140648348
member,Donna Shalala,RepShalala,D,1060584809095925762
member,Francis Rooney,RepRooney,R,816111677917851649
member,Frederica Wilson,RepWilson,D,234014087
member,Greg Steube,RepGregSteube,R,1083125649609506816
member,Gus Bilirakis,RepGusBilirakis,R,26051676
member,John Rutherford,RepRutherfordFL,R,828977216595849216
member,Kathy Castor,USRepKCastor,D,1880674038
member,Lois Frankel,RepLoisFrankel,D,1077121945
member,Mario Diaz-Balart,MarioDB,R,37094727
member,Matt Gaetz,RepMattGaetz,R,818948638890217473
member,Michael Waltz,RepMichaelWaltz,R,1082416697380913152
member,Neal Dunn,DrNealDunnFL2,R,815952318487298048
member,Ross Spano,RepRossSpano,R,1090328229548826627
member,Stephanie Murphy,RepStephMurphy,D,796183515998068736
member,Ted Deutch,RepTedDeutch,D,137794015
member,Ted Yoho,RepTedYoho,R,1071900114
member,Val Demings,RepValDemings,D,798973032362606600
member,Vern Buchanan,VernBuchanan,R,20467163
member,Austin Scott,AustinScottGA08,R,234797704
member,Barry Loudermilk,RepLoudermilk,R,2914163523
member,Buddy Carter,RepBuddyCarter,R,2973870195
member,David Scott,repdavidscott,D,168673083
member,Doug Collins,RepDougCollins,R,1060487274
member,Drew Ferguson,RepDrewFerguson,R,806583915012046854
member,Hank Johnson,RepHankJohnson,D,24745957
member,Jody Hice,CongressmanHice,R,2975091705
member,Lucy McBath,replucymcbath,D,1082380458976051202
member,Rick W. Allen,RepRickAllen,R,2964287128
member,Rob Woodall,RepRobWoodall,R,2382685057
member,Sanford Bishop,SanfordBishop,D,249410485
member,Michael San Nicolas,GuamCongressman,D,346509049
member,Ed Case,RepEdCase,D,1081350574589833221
member,Tulsi Gabbard,TulsiPress,D,1064206014
member,Abby Finkenauer,RepFinkenauer,D,1081256295469068288
member,Cindy Axne,RepCindyAxne,D,1080865917377097728
member,Dave Loebsack,daveloebsack,D,510516465
member,Steve King,SteveKingIA,R,48117116
member,Mike Simpson,CongMikeSimpson,R,76132891
member,Russ Fulcher,RepRussFulcher,R,1078741899572240384
member,Adam Kinzinger,RepKinzinger,R,219429281
member,Bill Foster,RepBillFoster,D,1080509366
member,Bobby Rush,RepBobbyRush,D,305216911
member,Brad Schneider,RepSchneider,D,1071840474
member,Cheri Bustos,RepCheri,D,1092979962
member,Chuy Garcia,RepChuyGarcia,D,1082427779583541248
member,Dan Lipinski,RepLipinski,D,1009269193
member,Danny K. Davis,RepDannyDavis,D,789244177
member,Darin LaHood,RepLaHood,R,3686482216
member,Jan Schakowsky,janschakowsky,D,24195214
member,John Shimkus,RepShimkus,R,15600527
member,Lauren Underwood,RepUnderwood,D,1080539438508400642
member,Mike Bost,RepBost,R,2964877294
member,Mike Quigley,RepMikeQuigley,D,56864092
member,Raja Krishnamoorthi,CongressmanRaja,D,814179031956488192
member,Robin Kelly,RepRobinKelly,D,1339931490
member,Rodney Davis,RodneyDavis,R,993153006
member,Sean Casten,RepCasten,D,1083472286089396224
member,Andre Carson,RepAndreCarson,D,199325935
member,Greg Pence,RepGregPence,R,1082369392229400576
member,Jackie Walorski,RepWalorski,R,1065995022
member,Jim Baird,repjimbaird,R,1086316494450032640
member,Jim Banks,RepJimBanks,R,816131319033950208
member,Larry Bucshon,RepLarryBucshon,R,234812598
member,Pete Visclosky,RepVisclosky,D,193872188
member,Susan Brooks,SusanWBrooks,R,1074101017
member,Trey Hollingsworth,RepTrey,R,811986281177772032
member,Roger Marshall,RepMarshall,R,752364246218862592
member,Ron Estes,RepRonEstes,R,854715071116849157
member,Sharice Davids,repdavids,D,1080516116395499522
member,Steve Watkins,Rep_Watkins,R,1080307235350241280
member,Andy Barr,RepAndyBarr,R,1089334250
member,Brett Guthrie,RepGuthrie,R,1908143071
member,Hal Rogers,RepHalRogers,R,550401754
member,James Comer,RepJamesComer,R,1274852794206388225
member,John Yarmuth,RepJohnYarmuth,D,384913290
member,Thomas Massie,RepThomasMassie,R,975200486
member,Cedric Richmond,RepRichmond,D,267854863
member,Clay Higgins,RepClayHiggins,R,843636970538618880
member,Garret Graves,RepGarretGraves,R,2951574214
member,Mike Johnson,RepMikeJohnson,R,827279765287559171
member,Ralph Abraham,RepAbraham,R,2962891515
member,Steve Scalise,SteveScalise,R,1209417007
member,Ayanna Pressley,RepPressley,D,1080584229510172678
member,Bill Keating,USRepKeating,D,232992031
member,Jim McGovern,RepMcGovern,D,242426145
member,Joseph Kennedy III,RepJoeKennedy,D,1055907624
member,Katherine Clark,RepKClark,D,2293131060
member,Lori Trahan,RepLoriTrahan,D,1079802482640019456
member,Richard Neal,RepRichardNeal,D,442824717
member,Seth Moulton,teammoulton,D,3091316093
member,Stephen Lynch,RepStephenLynch,D,310310133
member,Andy Harris,RepAndyHarrisMD,R,960962340
member,Anthony G. Brown,RepAnthonyBrown,D,823552974253342721
member,David Trone,repdavidtrone,D,1080573351914061825
member,Dutch Ruppersberger,Call_Me_Dutch,D,305620929
member,Jamie Raskin,RepRaskin,D,806906355214852096
member,John Sarbanes,RepSarbanes,D,364415553
member,Kweisi Mfume,RepKweisiMfume,D,1276209702322438148
member,Steny Hoyer,LeaderHoyer,D,22012091
member,Chellie Pingree,chelliepingree,D,14984637
member,Jared Golden,repgolden,D,1080891667308298240
member,Andy Levin,RepAndyLevin,D,1080277407867772930
