coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Wed Jul 22 18:14:01 +0000 2020,,,https://www.redstate.com/streiff/2020/07/21/president-trump-directs-that-illegals-not-be-counted-for-redistricting-and-you-can-imagine-the-reaction/?utm_source=Twitter&utm_medium=social&utm_term=president-trump-directs-that-illegals-not-be-counted-for-redistricting-and-you-can-imagine-the-reaction&utm_content=3&utm_campaign=PostPromoterPro,16,1286001567443955716,,,,en,,false,9,,,"<a href=""https://postpromoterpro.com"" rel=""nofollow"">Post Promoter Pro WP</a>","Not only is the 'Citizenship Question' a go, but they seem to be using Roberts's DACA decision to make this hard to undo. @streiffredstate https://t.co/t9NxktLmDW",https://twitter.com/RedState/status/1286001567443955716,Sun Apr 01 16:25:38 +0000 2007,RedState,false,,143,259696,366,4528,"Washington, D.C.",RedState,RedState,112952,,http://www.redstate.com,true
,Fri Jul 10 00:18:48 +0000 2020,,,,16839,1281382328909148161,,,,en,,,5904,,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","Joe Biden’s promise to the middle class: You will pay higher taxes.

We cannot afford Biden’s liberal economic agenda!",https://twitter.com/GOPChairwoman/status/1281382328909148161,Thu Feb 20 18:05:28 +0000 2014,GOPChairwoman,false,"@GOP Chairwoman | Wife, mother of two",8572,1031205,2580,3660,,Ronna McDaniel,GOPChairwoman,16869,,https://goo.gl/CYmMU2,true
,Sat Jul 11 16:36:39 +0000 2020,,https://twitter.com/TrumpWarRoom/status/1281008090905808896/video/1,,850,1281990801594241026,,,,en,,false,393,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Joe Biden said this week he “absolutely” supports cutting funding from police departments. 

This is the LAST thing our brave police officers need. Can’t trust Joe Biden to keep America’s cities safe!  https://t.co/PKXvz3zobe",https://twitter.com/TrumpWarRoom/status/1281990801594241026,Wed Mar 20 20:54:58 +0000 2019,TrumpWarRoom,false,"Highlighting @realDonaldTrump's #PromisesKept, fighting #FakeNews. This account punches back 10x harder. Managed by the @TeamTrump 2020 campaign. #MAGA",101,1224658,287,3552,MAGA Country,Trump War Room,TrumpWarRoom,26936,,https://www.donaldjtrump.com/,true
,Sat Jul 11 16:37:46 +0000 2020,,,,0,1281991078502002688,,,,en,,,215,1281953034285662208,christianllamar,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @christianllamar: .@PARISDENNARD: “ Joe Biden is not out there on the campaign trail. President Trump is. He is making the case. Right n…,https://twitter.com/kelliwardaz/status/1281991078502002688,Sun Aug 21 14:42:47 +0000 2011,kelliwardaz,false,"Chairwoman @AZGOP, mom, military wife, family physician, & former AZ State Senator #Win2020 #KeepAmericaGreat #ProLife #ProFamily #ProFreedom 🇺🇸",64686,105861,2360,712,"Phoenix, AZ",Dr. Kelli Ward 🇺🇸,kelliwardaz,37837,,http://www.kelliward.com,true
,Mon Jul 20 11:46:16 +0000 2020,Biden,,,0,1285179211402092545,,,,en,,,131,1285093021466361856,Ostrov_A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Ostrov_A: Amb. @NikkiHaley speaking at @RJC Town Hall event, underscores that if #Biden wins, all of the progress made, especially with…",https://twitter.com/RJC/status/1285179211402092545,Tue May 12 14:29:41 +0000 2009,RJC,false,The Republican Jewish Coalition is a Republican voice in the Jewish community and a voice for American Jews in the GOP.,1360,64121,22258,739,,RJC,RJC,65687,,http://www.rjchq.org,true
,Sun Jul 12 10:43:24 +0000 2020,,,,0,1282264290028920832,,,,en,,,27316,1282122960405438465,realannapaulina,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @realannapaulina: In 2017, my husband’s teammate was shot multiple times in Afghanistan. 

Without any media present, @realDonaldTrump s…",https://twitter.com/JasonMillerinDC/status/1282264290028920832,Sat Jan 12 23:03:43 +0000 2013,JasonMillerinDC,false,"Principal, SHW Partners LLC. @realDonaldTrump 2020 Senior Advisor. 2016 Senior Communications Advisor, Transition Team Communications Director. 2 Timothy 1:7.",11037,264999,3534,1847,"Washington, DC",Jason Miller,JasonMillerinDC,48249,,http://linkedin.com/in/jason-miller-543895195,true
,Fri Jul 10 18:26:40 +0000 2020,,https://twitter.com/RNCResearch/status/1156743886624235520/video/1,,1371,1281656097519079425,,,,en,,false,682,,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","How disastrous is Joe Biden’s energy agenda?

Ending fossil fuels would destroy millions of jobs, send energy prices through the roof, and enrich our enemies.

We cannot let that happen!https://t.co/l7AiZ7kVjI",https://twitter.com/GOPChairwoman/status/1281656097519079425,Thu Feb 20 18:05:28 +0000 2014,GOPChairwoman,false,"@GOP Chairwoman | Wife, mother of two",8572,1031205,2580,3660,,Ronna McDaniel,GOPChairwoman,16869,,https://goo.gl/CYmMU2,true
,Mon Jul 20 13:48:41 +0000 2020,,,,0,1285210019013722114,,,,en,,,4289,1285173139358572544,DonaldJTrumpJr,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @DonaldJTrumpJr: Joe Biden and the radical left-wing mob remain silent as violent protests and riots take over the Pacific Northwest. ht…,https://twitter.com/JasonMillerinDC/status/1285210019013722114,Sat Jan 12 23:03:43 +0000 2013,JasonMillerinDC,false,"Principal, SHW Partners LLC. @realDonaldTrump 2020 Senior Advisor. 2016 Senior Communications Advisor, Transition Team Communications Director. 2 Timothy 1:7.",11037,264999,3534,1847,"Washington, DC",Jason Miller,JasonMillerinDC,48249,,http://linkedin.com/in/jason-miller-543895195,true
,Thu Jul 23 02:18:14 +0000 2020,,,https://dailycaller.com/2020/07/22/exclusive-hud-terminate-obama-era-housing-rule/,827,1286123427183710209,,,,en,,false,439,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EXCLUSIVE: Trump, Ben Carson Are ‘Tearing Down’ An Obama-Era Housing Rule Accused Of Funneling Money Into Wealthy Areas https://t.co/f4HHyzoDfl via @dailycaller",https://twitter.com/JasonMillerinDC/status/1286123427183710209,Sat Jan 12 23:03:43 +0000 2013,JasonMillerinDC,false,"Principal, SHW Partners LLC. @realDonaldTrump 2020 Senior Advisor. 2016 Senior Communications Advisor, Transition Team Communications Director. 2 Timothy 1:7.",11037,264999,3534,1847,"Washington, DC",Jason Miller,JasonMillerinDC,48249,,http://linkedin.com/in/jason-miller-543895195,true
,Fri Jul 10 22:28:39 +0000 2020,,,https://thedcpatriot.com/team-biden-refuses-to-release-results-of-cognitive-testing/,141,1281716994740572160,,,,en,,false,112,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Team Biden Refuses To Release Results Of Cognitive Testing https://t.co/KhnZZPQITg,https://twitter.com/RealMattCouch/status/1281716994740572160,Thu Jun 07 03:57:26 +0000 2012,RealMattCouch,false,"Christian - Father - Investigator - Political Analyst - Founder of https://t.co/BK6f3SeNA1 - Truth Slinger - Si Vis Pacem, Para Bellum - IG/Parler/Gab: @RealMattCouch",321006,481696,111520,206,"NW Arkansas, USA",Matt Couch,RealMattCouch,319903,,http://www.TheDCPatriot.com,false
